iter	RMSE
0	73166.06638
1	72940.99845
2	72705.38059
3	72501.51578
4	72289.59544
5	72101.81079
6	71887.13625
7	71707.97835
8	71527.35023
9	71356.50343
10	71182.58533
11	71049.16355
12	70890.6363
13	70751.47029
14	70622.10545
15	70457.47126
16	70335.49362
17	70213.27681
18	70092.86274
19	69924.4317
20	69794.77978
21	69664.0124
22	69542.81805
23	69465.69213
24	69361.70471
25	69279.24697
26	69201.74586
27	69107.27212
28	68978.74052
29	68912.14273
30	68843.83583
31	68766.89334
32	68686.08024
33	68613.80318
34	68550.42801
35	68491.55376
36	68432.37467
37	68378.02145
38	68325.71303
39	68278.97564
40	68231.9228
41	68181.51002
42	68058.65574
43	68014.0388
44	67970.23948
45	67928.77635
46	67887.13748
47	67841.77994
48	67804.52329
49	67766.48446
50	67727.88615
51	67692.29975
52	67659.66185
53	67629.00871
54	67590.11626
55	67552.30889
56	67521.12752
57	67490.45412
58	67458.78707
59	67432.09391
60	67402.91273
61	67372.42429
62	67345.23619
63	67319.71481
64	67295.08055
65	67264.87976
66	67245.36447
67	67189.2029
68	67166.67282
69	67133.56184
70	67111.5304
71	67082.69741
72	67063.53814
73	67043.487
74	67013.6206
75	66997.21586
76	66932.36063
77	66913.57329
78	66891.74978
79	66873.6583
80	66808.18813
81	66787.51861
82	66738.07727
83	66720.73355
84	66702.01895
85	66687.17822
86	66651.08377
87	66635.43708
88	66576.18219
89	66558.72691
90	66545.20788
91	66532.78758
92	66517.54376
93	66504.10901
94	66492.16911
95	66476.95729
96	66418.71808
97	66406.62289
98	66395.0602
99	66383.36228
100	66363.26241
101	66352.27243
102	66334.4752
103	66325.01026
104	66317.29276
105	66299.56529
106	66246.76559
107	66233.01019
108	66222.83352
109	66214.23261
110	66207.32398
111	66197.88047
112	66138.31739
113	66128.4916
114	66120.41069
115	66058.40865
116	66050.29408
117	66043.36179
118	66023.57049
119	66010.78565
120	66004.56681
121	65972.32247
122	65920.27094
123	65869.51564
124	65822.9903
125	65817.73061
126	65762.76171
127	65755.99927
128	65724.6535
129	65645.82934
130	65583.16129
131	65571.19484
132	65540.72804
133	65530.96063
134	65523.67068
135	65513.14567
136	65507.47503
137	65493.76583
138	65481.8605
139	65470.83054
140	65454.31769
141	65441.448
142	65436.3521
143	65429.82925
144	65425.59053
145	65420.4435
146	65392.25967
147	65333.66721
148	65315.74519
149	65310.18154
150	65306.52528
151	65300.16063
152	65288.50478
153	65284.3049
154	65278.263
155	65265.33384
156	65251.79792
