iter	Passed	Remaining
0	130	130812
1	140	70281
2	152	50778
3	163	40817
4	173	34598
5	182	30288
6	193	27423
7	206	25585
8	221	24428
9	242	24003
10	260	23377
11	279	23043
12	299	22703
13	309	21766
14	317	20853
15	327	20128
16	342	19777
17	367	20072
18	388	20050
19	417	20449
20	440	20554
21	490	21823
22	594	25257
23	612	24888
24	650	25361
25	669	25071
26	689	24851
27	708	24595
28	727	24359
29	757	24483
30	773	24174
31	796	24102
32	816	23924
33	831	23629
34	851	23467
35	858	22977
36	873	22732
37	888	22490
38	906	22344
39	918	22051
40	938	21956
41	959	21890
42	981	21835
43	1019	22143
44	1033	21939
45	1051	21816
46	1078	21866
47	1097	21764
48	1122	21792
49	1136	21584
50	1151	21419
51	1168	21300
52	1187	21214
53	1208	21176
54	1223	21018
55	1240	20908
56	1255	20766
57	1268	20610
58	1285	20500
59	1307	20490
60	1329	20467
61	1344	20346
62	1361	20252
63	1378	20159
64	1395	20070
65	1412	19990
66	1428	19886
67	1443	19783
68	1460	19709
69	1472	19563
70	1485	19432
71	1500	19336
72	1515	19243
73	1530	19157
74	1546	19069
75	1559	18965
76	1571	18840
77	1583	18712
78	1593	18579
79	1604	18455
80	1614	18319
81	1627	18223
82	1638	18097
83	1644	17937
84	1655	17817
85	1666	17707
86	1679	17621
87	1689	17513
88	1703	17436
89	1713	17327
90	1724	17223
91	1734	17117
92	1743	17008
93	1756	16928
94	1765	16819
95	1776	16725
96	1786	16626
97	1798	16551
98	1808	16455
99	1817	16361
100	1829	16282
101	1840	16201
102	1850	16114
103	1859	16024
104	1871	15950
105	1888	15931
106	1904	15896
107	1919	15857
108	1935	15817
109	1953	15802
110	1969	15772
111	1984	15732
112	1997	15680
113	2011	15636
114	2028	15612
115	2046	15592
116	2061	15560
117	2091	15634
118	2107	15604
119	2123	15573
120	2136	15523
121	2154	15507
122	2165	15438
123	2175	15369
124	2185	15299
125	2195	15225
126	2207	15172
127	2217	15108
128	2229	15050
129	2239	14988
130	2250	14928
131	2262	14875
132	2273	14818
133	2285	14767
134	2294	14702
135	2304	14641
136	2314	14582
137	2325	14525
138	2334	14460
139	2344	14400
140	2354	14343
141	2367	14306
142	2380	14263
143	2390	14210
144	2400	14152
145	2411	14103
146	2421	14050
147	2431	13996
148	2440	13940
149	2451	13892
150	2467	13871
151	2477	13824
152	2487	13772
153	2497	13721
154	2508	13674
155	2517	13622
156	2528	13574
157	2538	13527
158	2548	13482
159	2560	13445
160	2570	13397
161	2581	13354
162	2591	13307
163	2603	13271
164	2614	13228
165	2626	13194
166	2635	13146
167	2646	13104
168	2658	13071
169	2671	13044
170	2684	13014
171	2695	12977
172	2713	12973
173	2738	13000
174	2773	13075
175	2796	13091
176	2812	13076
177	2824	13043
178	2846	13055
179	2868	13066
180	2884	13051
181	2899	13029
182	2914	13009
183	2927	12982
184	2942	12961
185	2962	12964
186	2980	12956
187	3003	12971
188	3019	12954
189	3030	12920
190	3045	12900
191	3065	12901
192	3080	12881
193	3094	12856
194	3106	12822
195	3116	12783
196	3133	12772
197	3148	12753
198	3161	12726
199	3176	12706
200	3192	12690
201	3206	12666
202	3221	12648
203	3238	12636
204	3254	12621
205	3270	12604
206	3284	12581
207	3299	12563
208	3319	12561
209	3337	12553
210	3353	12541
211	3370	12528
212	3384	12503
213	3397	12480
214	3414	12467
215	3431	12453
216	3449	12446
217	3465	12432
218	3479	12408
219	3495	12391
220	3512	12382
221	3525	12356
222	3541	12340
223	3582	12411
224	3604	12415
225	3626	12419
226	3647	12419
227	3670	12426
228	3691	12428
229	3717	12445
230	3730	12418
231	3744	12395
232	3759	12375
233	3771	12347
234	3782	12313
235	3795	12286
236	3810	12268
237	3822	12239
238	3833	12205
239	3848	12186
240	3858	12152
241	3870	12122
242	3879	12086
243	3889	12052
244	3902	12024
245	3912	11991
246	3922	11957
247	3934	11929
248	3946	11904
249	3957	11871
250	3968	11840
251	3978	11809
252	3989	11779
253	4000	11749
254	4011	11719
255	4022	11689
256	4036	11669
257	4051	11652
258	4063	11625
259	4074	11595
260	4085	11568
261	4101	11551
262	4114	11528
263	4124	11499
264	4135	11471
265	4147	11445
266	4157	11413
267	4169	11387
268	4179	11358
269	4189	11328
270	4199	11297
271	4210	11268
272	4219	11235
273	4229	11206
274	4239	11177
275	4250	11150
276	4260	11119
277	4270	11091
278	4280	11062
279	4291	11035
280	4301	11005
281	4310	10975
282	4321	10948
283	4331	10920
284	4342	10894
285	4353	10868
286	4363	10839
287	4372	10810
288	4382	10782
289	4392	10754
290	4403	10729
291	4413	10701
292	4426	10680
